% Model:              SE EVEN.mph
% Version:            COMSOL 5.4.0.388
% Date:               Mar 11 2025, 13:58
% Dimension:          1
% Nodes:              186
% Expressions:        1
% Description:        Global
% X                       Height
0.85                      3.9444854576990336
0.86                      3.9470513099292606
0.87                      3.9495999049329713
0.88                      3.9521310002741004
0.89                      3.9546478587378915
0.9                       3.9571863855680864
0.9099999999999999        3.9594389552850706
0.9199999999999999        3.9619507162164473
0.9299999999999999        3.9643711135347712
0.94                      3.966755007277794
0.95                      3.969106002408158
0.96                      3.971422155553012
0.97                      3.9736971204950637
0.98                      3.9759134574231494
0.99                      3.9780058637438525
1                         3.979424310479963
1.01                      3.979060409313581
1.02                      3.9781634994215644
1.03                      3.9771557534666413
1.04                      3.976104390689616
1.05                      3.975030819734263
1.06                      3.973944012038557
1.07                      3.972848363285964
1.08                      3.971746275025932
1.0899999999999999        3.9706391706274715
1.1                       3.96952794929461
1.1099999999999999        3.968413209424081
1.12                      3.9672953671127216
1.13                      3.9661747229961093
1.14                      3.9650515018997887
1.15                      3.963925877385305


0.85                      3.9464859820202447
0.86                      3.948941868222208
0.87                      3.9513924834426164
0.88                      3.9538361254149246
0.89                      3.9562737316361676
0.9                       3.9587292374119927
0.9099999999999999        3.960965292373563
0.9199999999999999        3.9634133591665472
0.9299999999999999        3.9657844478316715
0.94                      3.9681252403397305
0.95                      3.9704366889595333
0.96                      3.972713892599626
0.97                      3.974944494277298
0.98                      3.9770923848737523
0.99                      3.9789986922990153
1                         3.979832434767768
1.01                      3.9795506147626547
1.02                      3.9789526722375728
1.03                      3.978082266549076
1.04                      3.977098050505769
1.05                      3.9760620965686377
1.06                      3.9749990547610556
1.07                      3.9739200864521043
1.08                      3.9728308807670905
1.0899999999999999        3.9717346265597993
1.1                       3.97063325324139
1.1099999999999999        3.9695280044512087
1.12                      3.9684197264065273
1.13                      3.9673090231163997
1.14                      3.9661963448098585
1.15                      3.9650820407743037
0.85                      4.013105618392386
0.86                      4.012327906917127
0.87                      4.010209830435057
0.88                      4.008084629299358
0.89                      4.00595260480118
0.9                       4.003814212884268
0.9099999999999999        4.001670421750635
0.9199999999999999        3.9995268275404903
0.9299999999999999        3.9960341532583743
0.94                      3.994013342582794
0.95                      3.991893764787258
0.96                      3.989764553327497
0.97                      3.987646587710064
0.98                      3.9855783436734082
0.99                      3.983721502691005
1                         3.9828545025240674
1.01                      3.9831093426112836
1.02                      3.9836829890893677
1.03                      3.984529439015188
1.04                      3.985483291608054
1.05                      3.986481361023562
1.06                      3.9874986870168887
1.07                      3.9885240069829764
1.08                      3.989551605122856
1.0899999999999999        3.9905782982283755
1.1                       3.9916021783384594
1.1099999999999999        3.992622031334607
1.12                      3.9936370442198785
1.13                      3.99464664682345
1.14                      3.9956504206227543
1.15                      3.9966480429100253
0.85                      4.014438628459848
0.86                      4.011024234778959
0.87                      4.008934935163726
0.88                      4.006838290272325
0.89                      4.004735346630907
0.9                       4.002628495062292
0.9099999999999999        4.000525605707672
0.9199999999999999        3.9984876319074423
0.9299999999999999        3.997345699098322
0.94                      3.9951942069838906
0.95                      3.9930330988278473
0.96                      3.9908717123428907
0.97                      3.988717243931435
0.98                      3.9865869072325464
0.99                      3.9845437501298964
1                         3.9831904613974873
1.01                      3.983572409726035
1.02                      3.9844680017669654
1.03                      3.9854574141495642
1.04                      3.986480185580227
1.05                      3.9875160355814763
1.06                      3.9885563227591616
1.07                      3.98959677752797
1.08                      3.9906350547238443
1.0899999999999999        3.991669759527769
1.1                       3.9927000094189373
1.1099999999999999        3.9937252177963503
1.12                      3.9947449788294525
1.13                      3.995759002344341
1.14                      3.9967670750902258
1.15                      3.9977690366780814
