Theta;Alfa0;Alfa1;Alfa2;Alfa3;Alfa4;Alfa5;Alfa6;Alfa8;Alfa9;Alfa10;Alfa11;Alfa12;Alfa14;Alfa16;Alfa18;Alfa20
46;0.042;0.055;0.028;0.024;0.014;0.009;0.006;0.005;0.004;0.009;0.006;0.008;0.012;0.011;0.011;0.004
47;0.051;0.078;0.03;0.028;0.019;0.012;0.009;0.005;0.003;0.009;0.006;0.011;0.013;0.011;0.011;0.004
48;0.082;0.102;0.038;0.038;0.02;0.014;0.008;0.006;0.004;0.014;0.007;0.012;0.015;0.012;0.013;0.005
49;0.127;0.106;0.053;0.039;0.02;0.015;0.008;0.005;0.005;0.013;0.01;0.016;0.019;0.016;0.015;0.008
50;0.166;0.112;0.057;0.036;0.02;0.014;0.007;0.005;0.007;0.012;0.014;0.024;0.024;0.02;0.023;0.012
51;0.185;0.118;0.066;0.035;0.021;0.016;0.008;0.005;0.009;0.012;0.019;0.025;0.03;0.021;0.032;0.019
52;0.188;0.137;0.068;0.045;0.022;0.02;0.011;0.006;0.01;0.013;0.022;0.029;0.036;0.022;0.037;0.024
53;0.204;0.153;0.081;0.054;0.028;0.026;0.014;0.007;0.011;0.021;0.024;0.032;0.034;0.022;0.044;0.028
54;0.228;0.179;0.099;0.077;0.039;0.037;0.02;0.011;0.013;0.02;0.026;0.033;0.031;0.022;0.048;0.03
55;0.282;0.246;0.138;0.091;0.053;0.051;0.028;0.014;0.013;0.033;0.029;0.035;0.032;0.024;0.053;0.033
56;0.417;0.327;0.213;0.113;0.073;0.059;0.038;0.018;0.017;0.047;0.037;0.052;0.039;0.031;0.077;0.049
57;0.449;0.333;0.223;0.134;0.08;0.065;0.039;0.02;0.03;0.053;0.059;0.067;0.049;0.041;0.096;0.067
58;0.448;0.337;0.231;0.139;0.083;0.071;0.043;0.024;0.042;0.055;0.074;0.076;0.049;0.042;0.108;0.074
59;0.438;0.341;0.225;0.132;0.083;0.069;0.046;0.029;0.048;0.061;0.082;0.077;0.044;0.042;0.104;0.072
60;0.407;0.315;0.203;0.117;0.072;0.063;0.044;0.027;0.056;0.056;0.08;0.064;0.034;0.039;0.097;0.068
61;0.366;0.254;0.167;0.091;0.059;0.055;0.039;0.026;0.055;0.052;0.07;0.046;0.023;0.031;0.075;0.055
62;0.297;0.232;0.139;0.072;0.051;0.044;0.034;0.025;0.047;0.046;0.056;0.032;0.015;0.021;0.049;0.04
63;0.237;0.174;0.117;0.058;0.042;0.039;0.031;0.025;0.04;0.044;0.037;0.021;0.009;0.017;0.034;0.029
64;0.171;0.117;0.083;0.046;0.031;0.031;0.027;0.023;0.032;0.041;0.031;0.013;0.006;0.012;0.024;0.021
65;0.124;0.075;0.053;0.031;0.023;0.024;0.021;0.02;0.024;0.03;0.021;0.008;0.004;0.01;0.014;0.014
66;0.092;0.051;0.041;0.024;0.017;0.019;0.016;0.016;0.018;0.024;0.014;0.005;0.003;0.007;0.011;0.011
67;0.069;0.042;0.033;0.018;0.014;0.014;0.012;0.014;0.015;0.021;0.01;0.005;0.002;0.005;0.009;0.01
68;0.062;0.039;0.024;0.014;0.009;0.011;0.009;0.012;0.013;0.018;0.008;0.004;0.002;0.004;0.007;0.008
69;0.053;0.029;0.016;0.008;0.006;0.007;0.006;0.008;0.009;0.012;0.007;0.003;0.002;0.003;0.006;0.006
70;0.032;0.016;0.009;0.004;0.003;0.003;0.003;0.005;0.006;0.007;0.004;0.003;0.002;0.002;0.004;0.004
71;0.015;0.009;0.003;0.002;0.002;0.002;0.002;0.003;0.003;0.003;0.002;0.003;0.004;0.002;0.003;0.003
72;0.008;0.007;0.003;0.003;0.002;0.002;0.003;0.004;0.002;0.002;0.003;0.01;0.014;0.004;0.004;0.004
73;0.013;0.013;0.006;0.01;0.011;0.007;0.008;0.01;0.005;0.005;0.007;0.031;0.035;0.011;0.014;0.015
74;0.038;0.028;0.026;0.026;0.044;0.033;0.041;0.03;0.018;0.016;0.027;0.092;0.107;0.035;0.046;0.049
