% Model:              ABStack.mph
% Version:            COMSOL 5.4.0.388
% Date:               Mar 12 2025, 15:12
% Dimension:          1
% Nodes:              427
% Expressions:        1
% Description:        Global
% X                       Height
0                         0
0.05                      0.2998644446010113
0.1                       0.5982903452355655
0.15000000000000002       0.8937950250846447
0.2                       1.1848096031265676
0.25                      1.4696421773777983
0.30000000000000004       1.7464517291275978
0.35000000000000003       2.0132414535486216
0.4                       2.2678836118545544
0.45                      2.5081895194363337
0.5                       2.7320344305701774
0.55                      2.937534144304986
0.6000000000000001        3.123248000617349
0.65                      5.245254784099152E-6
0.7000000000000001        5.641858306987914E-6
0.75                      3.571054870335868E-8
0.8                       9.060176313609462E-9
0.8500000000000001        2.272705601665446E-8
0.9                       5.635108968181513E-10
0.9500000000000001        3.1413733263726743E-6
1                         5.907430904436856E-7
1.05                      1.5496205318568829E-6
1.1                       2.9895298401021434E-6
1.1500000000000001        1.0437670200463455E-6
1.2000000000000002        1.5173236513658943E-6
1.25                      3.0118101511073294E-6
1.3                       2.5751239690123935E-6
1.35                      2.7788678980709475E-6
1.4000000000000001        3.6300149775136823E-6
1.4500000000000002        1.6314512957432856E-6
1.5                       2.8474578439595514E-6
1.55                      1.0904760290104751E-7
1.6                       9.279297253225191E-8
1.6500000000000001        3.286177831354266E-8
1.7000000000000002        3.04440665618023E-8
1.75                      9.838553568722951E-8
1.8                       1.100717552537288E-7
1.85                      1.1651537174319838E-7
1.9000000000000001        5.562171596892191E-8
1.9500000000000002        8.998202673867448E-8
2                         4.266733949095282E-9
2.0500000000000003        1.0750257837657674E-7
2.1                       1.591717782158789E-7
2.15                      4.0593848371002436E-7
2.2                       2.087401597001822E-6
2.25                      2.2452742523312912E-6
2.3000000000000003        3.1426881547951298
2.35                      2.9861322986860244
2.4000000000000004        2.8141560942391535
2.45                      2.62772266317066
2.5                       2.428030440954608
2.5500000000000003        2.2164386852662608
2.6                       1.994384164644937
2.6500000000000004        1.7633088190540431
2.7                       1.5246075472713536
2.75                      1.2795974379640649
2.8000000000000003        1.02950535609738
2.85                      0.7754692307395078
2.9000000000000004        0.5185485700203056
2.95                      0.25974066288909853
3                         0
0                         1.8328409453769075E-6
0.05                      0.38375062776878544
0.1                       0.7674997834190569
0.15000000000000002       1.1512459858520212
0.2                       1.5349877450244909
0.25                      1.9187234981392334
0.30000000000000004       2.302451690274734
0.35000000000000003       2.6861706570984896
0.4                       3.0698786302843186
0.45                      3.453573679692865
0.5                       3.6428178952389048
0.55                      3.6931149377793346
0.6000000000000001        3.7417848106701084
0.65                      3.288359688800616
0.7000000000000001        3.432778578069799
0.75                      3.187223264428889E-6
0.8                       3.1430371248221435E-6
0.8500000000000001        3.1045176818304724E-6
0.9                       3.0754032530023692E-6
0.9500000000000001        3.7875132927716073E-6
1                         4.926298978260284E-6
1.05                      5.5433270544441706E-6
1.1                       4.243231359576859E-6
1.1500000000000001        5.842078123811441E-6
1.2000000000000002        1.8204460940380717E-6
1.25                      6.974076150721722E-6
1.3                       3.6289650203600424E-6
1.35                      3.287563926501246E-6
1.4000000000000001        4.708362311999847E-6
1.4500000000000002        2.2535829874566813E-6
1.5                       4.869886031651271E-6
1.55                      1.8104163266723034E-6
1.6                       1.7547139935881762E-6
1.6500000000000001        1.7632853420860993E-6
1.7000000000000002        1.2959110824342254E-6
1.75                      1.4598710719553564E-6
1.8                       1.3137618545758968E-6
1.85                      1.0748444877524789E-6
1.9000000000000001        9.563676287862098E-7
1.9500000000000002        3.267078384646033E-7
2                         6.331302951876073E-8
2.0500000000000003        3.641708653633895E-6
2.1                       3.979519101296685E-6
2.15                      4.428153249805647E-6
2.2                       3.406977307334585
2.25                      3.283129667833491
2.3000000000000003        3.739911552261549
2.35                      3.7012303410329306
2.4000000000000004        3.6598809904126095
2.45                      3.617026268495362
2.5                       3.3231714324452875
2.5500000000000003        2.990883863555381
2.6                       2.658586528641304
2.6500000000000004        2.3262807929538245
2.7                       1.9939678836572694
2.75                      1.6616489382033688
2.8000000000000003        1.3293250238048138
2.85                      0.9969971788420197
2.9000000000000004        0.6646664047788046
2.95                      0.33233368700295873
3                         1.8831715889512693E-6
0                         3.302627183071495
0.05                      0.3837707579189414
0.1                       0.7675398844460849
0.15000000000000002       1.1513059626280162
0.2                       1.5350680823184046
0.25                      1.9188255985576672
0.30000000000000004       2.302579164532981
0.35000000000000003       2.686329988242723
0.4                       3.070080369201235
0.45                      3.453833643831714
0.55                      4.1893077209454015
0.6000000000000001        4.168431290662091
0.65                      3.7879260501435517
0.7000000000000001        3.830771130526466
0.75                      3.5571214303461054
0.8                       3.6625681880583443
0.8500000000000001        3.7505985610118766
0.9                       3.8225050374595004
0.9500000000000001        7.916887506457592E-5
1                         3.400441482859681E-5
1.05                      2.1750471452614737E-5
1.1                       1.0897448131528546E-4
1.1500000000000001        1.1778505444088784E-4
1.2000000000000002        1.6330214097863744E-4
1.25                      7.225644780758634E-5
1.3                       1.8299481468222995E-4
1.35                      1.8110417548759306E-4
1.4000000000000001        1.744629348302438E-4
1.4500000000000002        3.315654873457583E-4
1.5                       3.4113645555741636E-4
1.55                      5.44218912138002E-6
1.6                       5.335948991638462E-6
1.6500000000000001        5.521848247545369E-6
1.7000000000000002        5.425663463668194E-6
1.75                      5.464873750069598E-6
1.8                       5.524294718404108E-6
1.85                      5.644983160932678E-6
1.9000000000000001        5.73075088400803E-6
1.9500000000000002        5.5596615600024765E-6
2                         5.676164899507138E-6
2.0500000000000003        3.668067249195567
2.1                       3.6021892367859887
2.15                      3.5137324454054015
