% Model:              AAStack.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 5 2025, 14:05
% Dimension:          1
% Nodes:              64
% Expressions:        1
% Description:        Global
% X                       Height
0.8                       3.6470833009608974
0.8400000000000001        3.7162109398944385
0.88                      3.77498806498528
0.92                      3.824420882137756
0.9600000000000001        3.8655115247100915
1                         3.89772171580691
1.04                      3.8845234666697723
1.08                      3.8693663643721155
1.12                      3.854256887921293
1.1600000000000001        3.8392480063999197
1.2000000000000002        3.8243928350184313
1.24                      3.8097462881892197
1.28                      3.7953650335663536
1.32                      3.7813072034780357
1.36                      3.767632019468746
1.4                       3.754399363285978
0.8                       3.9217794381581785
0.8400000000000001        3.9499629226949775
0.88                      3.9756789281377247
0.92                      3.9581651095523553
0.9600000000000001        3.9284860782930906
1                         3.8998508411389476
1.04                      3.9122312129430132
1.08                      3.9250788068846196
1.12                      3.9365415854579546
1.1600000000000001        3.946719604267736
1.2000000000000002        3.955710725478973
1.24                      3.9636068856559317
1.28                      3.9704773758316825
1.32                      3.9729043311073253
1.36                      3.965629809839
1.4                       3.958509140942388
0.8                       4.041951292179445
0.8400000000000001        4.0151204169120085
0.88                      3.9871798713464743
0.92                      3.999084634736606
0.9600000000000001        4.020042485248427
1                         4.036612388801286
1.04                      4.030596433312385
1.08                      4.02197429927113
1.12                      4.013441553364985
1.1600000000000001        4.005030021840312
1.2000000000000002        3.996767119241802
1.24                      3.9886825063457487
1.28                      3.98082507071749
1.32                      3.9767274056210233
1.36                      3.981758615522144
1.4                       3.9861708029060368
0.8                       4.1243095305690165
0.8400000000000001        4.107385411261926
0.88                      4.090092050845582
0.92                      4.0725546317482655
0.9600000000000001        4.0549235100023004
1                         4.0394597414867075
1.04                      4.045230292057436
1.08                      4.0531576712596555
1.12                      4.060586915209484
1.1600000000000001        4.067528489417123
1.2000000000000002        4.073999066582925
1.24                      4.080016396143359
1.28                      4.085598496159388
1.32                      4.090763327841341
1.36                      4.095528582343109
1.4                       4.099911510665138
